tconst	averageRating	numVotes
tt0012349	8.2	134855
tt0013442	7.9	105467
tt0015864	8.1	118668
tt0017136	8.3	185575
tt0021749	8.5	196085
tt0022100	8.3	168505
tt0025316	8.1	112298
tt0027977	8.5	259542
tt0029583	7.6	215507
tt0031381	8.2	334375
tt0031679	8.1	121413
tt0032138	8.1	428753
tt0032455	7.7	104003
tt0032553	8.4	237412
tt0032910	7.5	159905
tt0032976	8.1	146781
tt0033467	8.3	466079
tt0033563	7.2	142116
tt0033870	8.0	166610
tt0034492	7.3	154129
tt0034583	8.5	606167
tt0036775	8.3	167506
tt0038650	8.6	499255
tt0038787	7.9	107295
tt0040522	8.3	175205
tt0040746	7.9	153707
tt0040897	8.2	132454
tt0041959	8.1	181870
tt0042192	8.2	138799
tt0042332	7.3	174014
tt0042876	8.2	180530
tt0043014	8.4	236514
tt0043274	7.3	154100
tt0044079	7.9	141050
tt0044081	7.9	114377
tt0044706	8.0	110206
tt0045152	8.3	260737
tt0046183	7.3	153148
tt0046250	8.0	147677
tt0046912	8.2	188867
tt0047296	8.1	164959
tt0047396	8.5	522235
tt0047478	8.6	366937
tt0048280	7.3	148513
tt0050083	9.0	865469
tt0050212	8.1	233358
tt0050825	8.4	212322
tt0050976	8.1	198521
tt0050986	8.1	115007
tt0051201	8.4	137907
tt0052311	8.0	109828
tt0052357	8.3	427060
tt0052618	8.1	253716
tt0053125	8.3	346277
tt0053198	8.1	128097
tt0053285	7.2	160924
tt0053291	8.2	283605
tt0053604	8.3	196908
tt0054047	7.7	102568
tt0054215	8.5	718500
tt0054331	7.9	143243
tt0054698	7.6	192196
tt0055254	7.3	182289
tt0055614	7.6	121223
tt0055630	8.2	131392
tt0055928	7.2	179452
tt0056172	8.3	314467
tt0056193	7.5	108828
tt0056592	8.3	332960
tt0056801	8.0	125228
tt0056869	7.6	204575
tt0057012	8.4	518413
tt0057076	7.3	145401
tt0057115	8.2	258983
tt0057546	7.1	106510
tt0058150	7.7	202606
tt0058331	7.8	186095
tt0058385	7.7	101836
tt0058461	7.9	232785
tt0059578	8.2	274766
tt0059742	8.1	261141
tt0059800	6.9	127129
tt0060196	8.8	811485
tt0060827	8.1	130965
tt0061418	7.7	120640
tt0061512	8.1	188580
tt0061722	8.0	288489
tt0061852	7.6	198723
tt0062512	6.8	117570
tt0062622	8.3	719766
tt0063350	7.8	139184
tt0063442	8.0	193385
tt0063522	8.0	235280
tt0064115	8.0	226765
tt0064116	8.5	349168
tt0064276	7.2	116971
tt0064665	7.8	120873
tt0065421	7.1	114768
tt0066206	7.9	107977
tt0066921	8.3	881528
tt0066995	6.5	114175
tt0066999	7.7	168339
tt0067116	7.7	135746
tt0067992	7.8	227428
tt0068473	7.7	119298
tt0068646	9.2	2013290
tt0070034	7.6	113018
tt0070047	8.1	455119
tt0070328	6.7	115512
tt0070379	7.2	119695
tt0070511	8.0	138409
tt0070608	7.5	138951
tt0070666	7.7	134857
tt0070735	8.3	279981
tt0071230	7.7	152543
tt0071315	8.1	349957
tt0071360	7.7	121912
tt0071562	9.0	1364674
tt0071807	6.7	113101
tt0071853	8.2	570411
tt0072271	7.4	183714
tt0072431	8.0	168932
tt0072500	8.8	100179
tt0072684	8.1	183138
tt0072890	8.0	273134
tt0073195	8.1	659671
tt0073486	8.7	1072668
tt0073629	7.4	166981
tt0074119	7.9	126090
tt0074285	7.4	206742
tt0074486	7.3	127521
tt0074958	8.1	170701
tt0075005	7.5	132627
tt0075148	8.1	628625
tt0075314	8.2	921085
tt0075686	8.0	278486
tt0075860	7.6	216953
tt0076752	7.0	116297
tt0076759	8.6	1450057
tt0076786	7.3	105477
tt0077402	7.8	128637
tt0077416	8.1	362328
tt0077631	7.2	300672
tt0077651	7.7	306876
tt0077975	7.4	129368
tt0078346	7.4	187583
tt0078748	8.5	951256
tt0078788	8.4	710498
tt0079116	7.6	147481
tt0079417	7.8	154761
tt0079470	8.0	421903
tt0079501	6.8	222475
tt0079522	7.8	147306
tt0079574	6.2	108828
tt0079817	7.3	231311
tt0079944	8.1	144809
tt0080120	7.5	110728
tt0080339	7.7	261210
tt0080455	7.9	214539
tt0080487	7.2	127206
tt0080678	8.2	258530
tt0080684	8.7	1380191
tt0080761	6.4	157499
tt0081398	8.1	380348
tt0081505	8.4	1107114
tt0081573	6.8	114660
tt0082010	7.5	120569
tt0082096	8.4	264403
tt0082198	6.9	162554
tt0082340	7.1	157579
tt0082398	6.7	108321
tt0082406	7.2	101961
tt0082495	6.5	101728
tt0082694	7.6	193780
tt0082971	8.4	1037109
tt0083658	8.1	823335
tt0083866	7.9	437676
tt0083907	7.4	232466
tt0083929	7.1	115800
tt0083944	7.7	275667
tt0083987	8.0	240224
tt0084516	7.3	179632
tt0084602	6.8	211283
tt0084726	7.7	129244
tt0084787	8.2	466846
tt0084805	7.4	114701
tt0084827	6.7	129335
tt0085334	7.9	168632
tt0085794	7.8	119228
tt0085959	7.5	125348
tt0085995	7.3	120154
tt0086034	6.5	113011
tt0086190	8.3	1121734
tt0086250	8.3	916854
tt0086465	7.5	165855
tt0086541	7.2	103030
tt0086567	7.1	110794
tt0086879	8.4	428194
tt0086960	7.4	203373
tt0086979	7.5	105311
tt0087182	6.3	179607
tt0087332	7.8	450410
tt0087363	7.3	247871
tt0087469	7.5	535414
tt0087538	7.3	244567
tt0087544	8.0	182605
tt0087800	7.4	262602
tt0087843	8.3	377843
tt0087884	8.1	119050
tt0087928	6.7	137469
tt0088011	6.9	103353
tt0088128	7.0	126401
tt0088247	8.1	924501
tt0088258	7.9	147389
tt0088323	7.3	157006
tt0088763	8.5	1307339
tt0088846	7.9	211270
tt0088847	7.8	436689
tt0088930	7.2	109351
tt0088944	6.7	174949
tt0089218	7.7	298502
tt0089530	6.2	147701
tt0089880	6.5	182553
tt0089881	8.2	136243
tt0089927	6.9	226488
tt0090264	6.3	104932
tt0090329	7.4	104696
tt0090555	6.6	115496
tt0090605	8.4	763350
tt0090728	7.2	154058
tt0090756	7.7	215779
tt0091042	7.8	386592
tt0091064	7.6	201995
tt0091203	7.0	147498
tt0091369	7.3	149635
tt0091605	7.7	117287
tt0091763	8.1	439654
tt0092005	8.1	441772
tt0092067	8.0	182430
tt0092099	6.9	502829
tt0092400	8.1	111145
tt0092455	8.7	136124
tt0092644	6.5	130545
tt0092890	7.0	256506
tt0092965	7.7	134344
tt0092991	7.7	181976
tt0093058	8.3	790660
tt0093105	7.3	153870
tt0093177	6.9	140584
tt0093389	7.7	111535
tt0093409	7.6	276440
tt0093428	6.7	105876
tt0093437	7.2	161225
tt0093748	7.6	160311
tt0093773	7.8	455034
tt0093779	8.0	451056
tt0093822	7.3	150410
tt0093870	7.6	283228
tt0093894	6.6	167780
tt0094012	7.1	206613
tt0094226	7.8	330895
tt0094291	7.3	165211
tt0094625	8.0	205314
tt0094721	7.5	340258
tt0094737	7.3	240038
tt0094862	6.7	116791
tt0094898	7.1	223642
tt0095016	8.2	945854
tt0095159	7.5	153958
tt0095327	8.5	310598
tt0095647	7.8	111085
tt0095705	7.6	185052
tt0095765	8.5	283018
tt0095953	8.0	546758
tt0095956	5.8	140229
tt0096061	6.9	116446
tt0096256	7.2	145538
tt0096283	8.1	380431
tt0096320	6.2	137316
tt0096438	7.7	216920
tt0096446	7.2	129911
tt0096657	8.6	133590
tt0096697	8.7	436047
tt0096754	7.5	193458
tt0096874	7.8	572783
tt0096895	7.5	404366
tt0096928	6.9	141704
tt0096969	7.2	115993
tt0097165	8.1	546343
tt0097216	8.0	112459
tt0097239	7.3	117582
tt0097351	7.5	128159
tt0097428	6.6	224897
tt0097441	7.8	144484
tt0097493	7.2	115917
tt0097523	6.4	166381
tt0097576	8.2	811138
tt0097733	7.3	188895
tt0097742	6.7	112113
tt0097757	7.6	291063
tt0097814	7.8	165615
tt0097958	7.5	220153
tt0098084	6.5	115066
tt0098206	6.7	100926
tt0098439	6.4	113621
tt0098554	7.1	107760
tt0098635	7.7	242822
tt0098800	7.9	144722
tt0098904	8.9	351670
tt0098936	8.8	215504
tt0099077	7.8	158813
tt0099088	7.4	481006
tt0099348	8.0	290757
tt0099423	7.1	383176
tt0099487	7.9	523981
tt0099653	7.1	236045
tt0099674	7.6	424210
tt0099685	8.7	1257796
tt0099700	6.4	112877
tt0099785	7.7	652969
tt0099810	7.5	214812
tt0099864	6.8	140910
tt0099871	7.4	117923
tt0099938	6.2	162743
tt0100150	7.7	142178
tt0100157	7.8	235676
tt0100403	6.3	182670
tt0100405	7.1	362628
tt0100507	5.4	150659
tt0100758	6.8	104852
tt0100802	7.5	354691
tt0100814	7.1	150591
tt0100935	7.2	101004
tt0101272	6.9	180019
tt0101410	7.6	128990
tt0101414	8.0	479757
tt0101507	7.8	154689
tt0101540	7.3	216751
tt0102057	6.8	273309
tt0102059	6.7	116666
tt0102138	8.0	169965
tt0102266	7.0	112088
tt0102510	6.9	122257
tt0102685	7.3	202379
tt0102798	6.9	208458
tt0102926	8.6	1548722
tt0103064	8.6	1174484
tt0103074	7.6	173253
tt0103359	9.0	117084
tt0103639	8.0	467056
tt0103644	6.4	319514
tt0103772	7.1	219219
tt0103776	7.1	327563
tt0103855	6.4	147726
tt0103873	7.5	103325
tt0103874	7.4	238513
tt0103919	6.7	100177
tt0104070	6.6	131392
tt0104257	7.7	287440
tt0104348	7.7	116280
tt0104431	6.9	402623
tt0104652	7.7	102159
tt0104691	7.7	187721
tt0104694	7.3	121094
tt0104714	6.7	178556
tt0104797	7.7	102052
tt0104952	7.6	140630
tt0105112	6.8	120470
tt0105236	8.3	1088555
tt0105323	8.0	329004
tt0105417	6.5	108431
tt0105665	7.3	105217
tt0105695	8.2	436296
tt0105793	7.0	170969
tt0106179	8.6	249942
tt0106220	6.8	109630
tt0106308	7.4	194410
tt0106489	7.8	161209
tt0106519	7.9	232445
tt0106582	6.5	139997
tt0106611	7.0	113788
tt0106677	7.6	199658
tt0106697	6.7	193418
tt0106856	7.6	206734
tt0106918	6.9	147740
tt0106977	7.8	318773
tt0107048	8.0	685280
tt0107120	6.9	155964
tt0107206	7.2	113764
tt0107207	8.1	187159
tt0107290	8.2	1067523
tt0107362	6.5	163882
tt0107614	7.1	291072
tt0107688	7.9	375224
tt0107818	7.7	258158
tt0107977	6.7	136901
tt0108037	7.8	102424
tt0108052	9.0	1451275
tt0108160	6.8	190930
tt0108358	7.8	166367
tt0108394	7.8	110530
tt0108399	7.9	242565
tt0108550	7.7	254148
tt0108778	8.9	1088575
tt0109040	6.9	325231
tt0109444	6.9	107952
tt0109445	7.7	232410
tt0109506	7.5	203256
tt0109686	7.3	412397
tt0109707	7.8	184002
tt0109830	8.8	2257995
tt0109831	7.1	166204
tt0110148	7.5	347602
tt0110322	7.5	183159
tt0110357	8.5	1142769
tt0110413	8.5	1246280
tt0110475	6.9	420957
tt0110478	7.0	119095
tt0110622	6.5	111911
tt0110632	7.2	251861
tt0110912	8.9	2221090
tt0111070	6.6	133435
tt0111161	9.3	2889803
tt0111257	7.3	392049
tt0111282	7.0	205153
tt0111495	8.1	110040
tt0111503	7.3	281060
tt0112281	6.4	233612
tt0112384	7.7	315691
tt0112431	6.9	134154
tt0112442	6.8	286513
tt0112461	7.3	121071
tt0112462	5.4	266637
tt0112471	8.1	339433
tt0112508	6.3	156648
tt0112573	8.3	1091632
tt0112641	8.2	564146
tt0112642	6.2	146862
tt0112697	6.9	245993
tt0112740	7.3	123368
tt0112817	7.5	103103
tt0112818	7.5	101802
tt0112851	7.1	197704
tt0112864	7.6	408262
tt0113101	6.7	111112
tt0113118	7.2	124611
tt0113189	7.2	270280
tt0113247	8.1	196547
tt0113277	8.3	719657
tt0113492	5.6	124965
tt0113497	7.1	377018
tt0113568	7.9	156948
tt0113627	7.5	134712
tt0113749	7.0	128887
tt0113855	5.8	124655
tt0114069	6.6	137811
tt0114148	6.7	203077
tt0114214	6.5	102893
tt0114369	8.6	1799683
tt0114388	7.7	125772
tt0114709	8.3	1068895
tt0114746	8.0	646850
tt0114814	8.5	1145746
tt0114898	6.3	210010
tt0114924	6.8	114038
tt0115433	5.7	117585
tt0115685	7.2	100666
tt0115759	6.1	105253
tt0115798	6.1	178141
tt0115963	6.4	107755
tt0116136	6.4	101812
tt0116209	7.4	201061
tt0116213	6.2	118405
tt0116282	8.1	726917
tt0116367	7.2	340764
tt0116483	7.0	248679
tt0116583	7.0	171732
tt0116629	7.0	605843
tt0116695	7.3	287105
tt0116705	5.7	116169
tt0116922	7.6	153248
tt0116996	6.4	243591
tt0117008	7.0	174672
tt0117060	7.2	470428
tt0117218	5.7	123696
tt0117318	7.3	100750
tt0117381	7.7	247184
tt0117438	6.7	135508
tt0117500	7.4	358234
tt0117509	6.7	244854
tt0117571	7.4	388571
tt0117665	7.5	237613
tt0117705	6.5	213553
tt0117731	7.6	132088
tt0117913	7.5	181716
tt0117951	8.1	725842
tt0117998	6.5	213710
tt0118276	8.3	159794
tt0118421	8.7	106706
tt0118480	8.4	101427
tt0118571	6.5	210156
tt0118583	6.2	263525
tt0118615	4.9	112050
tt0118617	7.1	136081
tt0118655	7.0	257244
tt0118688	3.8	268185
tt0118689	6.5	110874
tt0118694	8.1	166946
tt0118715	8.1	860599
tt0118749	7.9	282144
tt0118799	8.6	743418
tt0118842	7.2	143830
tt0118880	6.9	319362
tt0118883	6.7	107261
tt0118884	7.5	293186
tt0118887	7.0	106423
tt0118929	7.6	212349
tt0118971	7.5	402040
tt0118998	5.4	102146
tt0119008	7.7	332359
tt0119081	6.6	197241
tt0119094	7.3	401012
tt0119116	7.6	506466
tt0119164	7.2	114134
tt0119174	7.7	429551
tt0119177	7.7	323320
tt0119217	8.3	1068584
tt0119282	7.3	255267
tt0119303	4.6	127262
tt0119345	5.8	158144
tt0119395	6.4	124194
tt0119396	7.5	375131
tt0119488	8.2	618005
tt0119528	6.9	333522
tt0119567	6.5	444176
tt0119643	7.2	264918
tt0119654	7.3	613122
tt0119698	8.3	433892
tt0119738	6.3	155457
tt0119822	7.7	318512
tt0120082	6.3	209807
tt0120102	7.1	155997
tt0120184	6.1	112524
tt0120188	7.1	180510
tt0120201	7.3	321289
tt0120338	7.9	1280866
tt0120347	6.5	204716
tt0120363	7.9	619864
tt0120382	8.2	1196959
tt0120484	6.1	178433
tt0120586	8.5	1186598
tt0120587	6.5	164094
tt0120591	6.7	450947
tt0120601	7.7	353426
tt0120611	7.1	299062
tt0120616	7.1	461288
tt0120623	7.2	314602
tt0120630	7.1	212305
tt0120632	6.7	127801
tt0120647	6.2	190428
tt0120655	7.3	228702
tt0120657	6.6	132138
tt0120660	7.3	258988
tt0120663	7.5	375271
tt0120667	5.7	343933
tt0120669	7.5	301597
tt0120681	6.7	164243
tt0120685	5.4	203624
tt0120689	8.6	1407913
tt0120735	8.1	616464
tt0120737	8.9	2007781
tt0120744	6.5	178849
tt0120746	6.8	197832
tt0120755	6.1	377819
tt0120762	7.7	316609
tt0120768	7.3	154997
tt0120783	6.6	154889
tt0120784	7.1	145755
tt0120789	7.5	136346
tt0120794	7.2	146429
tt0120804	6.6	288532
tt0120812	7.0	294797
tt0120815	8.6	1496938
tt0120855	7.3	247321
tt0120863	7.6	199645
tt0120873	6.6	113394
tt0120888	6.9	162363
tt0120889	7.0	114436
tt0120890	6.6	130811
tt0120891	4.9	167317
tt0120902	7.0	110194
tt0120903	7.3	646774
tt0120907	6.8	107239
tt0120912	6.2	403797
tt0120915	6.5	856721
tt0120917	7.4	225584
tt0121164	7.4	298907
tt0121765	6.6	759158
tt0121766	7.6	845700
tt0121955	8.7	406067
tt0122151	6.6	172281
tt0122690	7.2	195210
tt0122718	6.3	105751
tt0122933	6.7	161715
tt0123755	7.1	247696
tt0124315	7.4	104823
tt0125439	7.2	342379
tt0125664	7.4	137506
tt0126029	7.9	734444
tt0126886	7.3	104566
tt0127536	7.4	105146
tt0128442	7.3	160199
tt0128445	7.6	198029
tt0128853	6.7	229733
tt0129167	8.1	227569
tt0129290	6.8	122331
tt0129387	7.1	328954
tt0130827	7.7	207033
tt0133093	8.7	2053985
tt0133152	5.7	229222
tt0133240	7.2	133101
tt0133751	6.6	135151
tt0134084	5.6	164103
tt0134119	7.4	243332
tt0134273	6.6	142767
tt0134847	7.0	253032
tt0137494	6.3	123931
tt0137523	8.8	2324949
tt0138097	7.1	234379
tt0138524	6.3	101865
tt0138704	7.3	186483
tt0138749	6.9	107493
tt0139134	6.8	205230
tt0139654	7.7	473036
tt0140352	7.8	180255
tt0141842	9.2	471671
tt0142342	6.4	234278
tt0142688	6.7	197549
tt0143145	6.4	210006
tt0144084	7.6	716020
tt0144117	7.6	250744
tt0145487	7.4	880116
tt0145660	6.7	248911
tt0145681	6.7	185043
tt0146316	5.8	219007
tt0146675	5.8	116742
tt0146838	6.9	125910
tt0146882	7.4	189807
tt0147800	7.3	385501
tt0149261	5.9	142594
tt0149460	8.5	261048
tt0151804	7.6	287682
tt0154506	7.4	101786
tt0155267	6.8	100612
tt0158983	7.7	215018
tt0159097	7.2	169270
tt0159206	7.3	143007
tt0159273	6.4	112901
tt0159365	7.2	156109
tt0160127	5.6	196343
tt0160862	5.9	103848
tt0161081	6.6	135760
tt0162222	7.8	638885
tt0162346	7.3	126851
tt0162661	7.3	383985
tt0163025	5.9	341121
tt0163187	5.6	104526
tt0163651	7.0	433908
tt0163978	6.6	253794
tt0164052	5.8	138441
tt0164184	6.4	124433
tt0164912	6.0	149073
tt0165598	8.1	189372
tt0166924	7.9	383965
tt0167190	6.8	350156
tt0167260	9.0	1979849
tt0167261	8.8	1784427
tt0167404	8.2	1051666
tt0168629	7.9	116819
tt0169102	8.1	120702
tt0169547	8.3	1211268
tt0170016	6.3	291559
tt0171804	7.5	103305
tt0172156	6.6	267331
tt0172493	7.3	211412
tt0172495	8.5	1620781
tt0174856	7.6	102505
tt0175142	6.3	286792
tt0175880	8.0	328586
tt0177789	7.4	178269
tt0177971	6.5	177992
tt0180093	8.3	899041
tt0181689	7.6	584515
tt0181852	6.3	418615
tt0181865	7.6	219779
tt0181875	7.9	293501
tt0182576	8.1	364387
tt0182789	6.9	124719
tt0183505	6.6	251310
tt0183649	7.1	285844
tt0183790	7.0	201801
tt0184894	6.6	135253
tt0185125	7.8	102906
tt0185431	5.3	112563
tt0185906	9.4	527567
tt0185937	6.5	285679
tt0186151	7.4	115775
tt0187078	6.5	294757
tt0187393	7.2	293567
tt0187738	6.7	234487
tt0190138	6.7	129191
tt0190332	7.9	281665
tt0190590	7.7	330933
tt0193676	8.8	153291
tt0195685	7.4	221442
tt0195714	6.7	279605
tt0196229	6.5	291991
tt0198781	8.1	979194
tt0200465	7.2	189204
tt0200550	5.7	120954
tt0203009	7.6	299410
tt0203019	7.2	125163
tt0203259	8.1	125073
tt0204946	6.1	105789
tt0206512	8.2	111420
tt0206634	7.9	529534
tt0207201	6.4	222395
tt0208092	8.2	911172
tt0209144	8.4	1323305
tt0209163	6.4	346017
tt0209958	6.4	109125
tt0210945	7.8	231993
tt0211915	8.3	794388
tt0212338	7.0	355234
tt0212346	6.3	230378
tt0212671	8.2	142618
tt0212720	7.2	323099
tt0212985	6.8	293251
tt0213149	6.2	351897
tt0213338	8.9	138975
tt0213847	7.4	112040
tt0214341	8.8	147862
tt0215129	6.5	178315
tt0215750	7.5	277678
tt0216216	5.9	127950
tt0217505	7.5	473064
tt0217869	7.3	441968
tt0218967	6.8	119408
tt0221027	7.5	275110
tt0223897	7.2	123899
tt0227445	6.8	134145
tt0227538	5.6	127383
tt0230011	6.9	134130
tt0230030	6.1	112274
tt0230600	7.6	393339
tt0232500	6.8	419704
tt0234215	7.2	630826
tt0236493	6.1	114048
tt0238380	7.3	347098
tt0238784	8.2	148178
tt0240772	7.7	619440
tt0240890	6.8	121401
tt0241303	7.2	201998
tt0241527	7.6	856328
tt0242423	5.5	145847
tt0242653	6.7	543686
tt0243133	7.5	115019
tt0243155	6.8	263748
tt0244244	6.5	196287
tt0245429	8.6	849833
tt0245574	7.7	128903
tt0245712	8.1	252949
tt0245844	7.7	148511
tt0246460	6.1	229211
tt0246578	8.0	850309
tt0247638	6.4	163645
tt0247745	7.0	112995
tt0248654	8.7	149480
tt0248667	6.7	105570
tt0249462	7.7	142857
tt0250494	6.5	248283
tt0250687	6.5	123118
tt0251075	6.1	136288
tt0251127	6.5	270132
tt0251160	7.1	143731
tt0252866	6.4	270215
tt0253474	8.5	912654
tt0253556	6.2	145501
tt0256380	6.0	144805
tt0256415	6.2	123624
tt0257044	7.7	284582
tt0257076	6.1	153990
tt0257106	5.3	175184
tt0257360	7.2	133597
tt0258000	6.8	296985
tt0258463	7.8	576425
tt0259324	5.3	252327
tt0259446	6.6	144656
tt0259711	6.9	285767
tt0261392	6.8	161092
tt0263488	6.2	142604
tt0264235	8.8	147521
tt0264464	8.1	1096159
tt0265086	7.7	423733
tt0265208	6.7	239872
tt0265459	6.8	131753
tt0265666	7.6	313260
tt0266308	7.5	194483
tt0266543	8.2	1113736
tt0266697	8.2	1194431
tt0266915	6.7	239136
tt0266987	7.1	167113
tt0267913	5.3	125574
tt0268126	7.7	203092
tt0268380	7.5	519328
tt0268695	6.0	130434
tt0268978	8.2	987279
tt0272152	7.4	193066
tt0272338	7.3	177524
tt0274166	6.3	174257
tt0274558	7.5	138536
tt0275847	7.3	211754
tt0276751	7.1	191713
tt0276919	8.0	158698
tt0277027	7.6	155326
tt0277296	5.5	145463
tt0277371	5.8	115948
tt0277434	7.2	151300
tt0278504	7.2	319240
tt0279600	7.5	138142
tt0280590	5.8	152558
tt0281358	7.3	221411
tt0283111	6.4	115366
tt0285331	8.4	197076
tt0285403	8.4	270690
tt0285823	6.3	169765
tt0286106	6.8	385829
tt0286499	6.7	116512
tt0286716	5.6	278624
tt0287467	7.9	117513
tt0287978	5.3	229116
tt0288477	5.6	109042
tt0289043	7.5	445972
tt0289765	7.2	290979
tt0289879	7.6	521298
tt0289992	7.5	126108
tt0290002	6.3	286596
tt0290334	7.4	576326
tt0290673	7.3	147709
tt0290978	8.5	123188
tt0292506	6.6	142268
tt0292963	7.3	111715
tt0293429	6.0	190092
tt0293508	7.2	130709
tt0293564	6.2	183357
tt0293662	6.8	321253
tt0295178	6.2	222944
tt0295297	7.4	692568
tt0295700	6.1	131546
tt0295701	5.8	186518
tt0296572	6.6	241883
tt0298130	7.1	375141
tt0298148	7.3	505147
tt0298203	7.2	321018
tt0298814	5.5	107348
tt0299658	7.2	243417
tt0299977	7.9	187680
tt0300471	6.2	112546
tt0301357	7.7	152668
tt0302640	5.6	102651
tt0302886	7.0	243420
tt0303461	8.9	281778
tt0304141	7.9	691790
tt0305224	6.2	228493
tt0305357	4.9	133057
tt0306047	5.5	158404
tt0306414	9.3	377725
tt0307453	6.0	198981
tt0307901	7.6	184683
tt0307987	7.1	155185
tt0308644	7.7	212066
tt0309593	6.2	182035
tt0309698	7.3	267309
tt0309987	7.1	131622
tt0310793	8.0	148761
tt0311113	7.5	237997
tt0311289	7.0	100265
tt0311429	5.8	183995
tt0312004	7.5	146130
tt0313542	7.1	104622
tt0313737	6.1	125951
tt0314331	7.6	531614
tt0314353	6.6	130581
tt0315327	6.8	433824
tt0315733	7.6	245889
tt0316654	7.5	708960
tt0317198	6.0	122478
tt0317219	7.2	470245
tt0317248	8.6	801332
tt0317705	8.0	809022
tt0317740	7.0	388605
tt0317919	6.9	390855
tt0318462	7.7	104793
tt0318627	6.1	210005
tt0318649	6.1	103670
tt0319061	8.0	458984
tt0319262	6.5	476196
tt0319343	7.1	310842
